channel,month,budget_allocated_aed,actual_spend_aed,budget_variance_aed,budget_variance_pct,impressions,clicks,leads_generated,qualified_leads,crm_leads,crm_converted_customers,cac_aed,cpl_aed,cpql_aed,cpl_aed_crm_cross_check
Email Campaign,2024-01,7971.91,7917.29,-54.61999999999989,-0.6851557531382052,4148307,82110,404,193,11,8,989.66125,19.597252475247526,41.02222797927461,719.7536363636364
Email Campaign,2024-02,12663.42,10927.67,-1735.75,-13.70680274365061,3140000,34986,304,16,10,8,1365.95875,35.94628289473684,682.979375,1092.767
Email Campaign,2024-03,5685.26,5043.4,-641.8600000000006,-11.28989703197392,2207419,48226,36,6,6,2,2521.7,140.09444444444443,840.5666666666666,840.5666666666666
Email Campaign,2024-04,13728.55,12797.97,-930.5799999999999,-6.778428894530013,2672126,11717,299,66,6,3,4265.99,42.80257525083612,193.90863636363636,2132.995
Email Campaign,2024-05,16861.84,13804.0,-3057.84,-18.13467569375584,4167245,23291,84,43,8,7,1972.0,164.33333333333334,321.0232558139535,1725.5
Email Campaign,2024-06,4405.33,3572.31,-833.02,-18.909366608176914,2203590,30168,77,46,15,10,357.231,46.39363636363636,77.65891304347826,238.154
Email Campaign,2024-07,6808.13,6732.16,-75.97000000000025,-1.1158717592055418,519547,53372,260,159,7,6,1122.0266666666666,25.892923076923076,42.34062893081761,961.7371428571429
Email Campaign,2024-08,11108.19,11267.46,159.26999999999862,1.4338069478465765,3119489,66136,363,127,4,4,2816.865,31.0398347107438,88.72015748031495,2816.865
Email Campaign,2024-09,14736.0,12495.11,-2240.8899999999994,-15.206908251900106,2776918,53184,33,33,10,9,1388.3455555555556,378.639696969697,378.639696969697,1249.511
Email Campaign,2024-10,4466.16,4448.69,-17.470000000000255,-0.39116377380121303,4353646,55632,106,106,13,6,741.4483333333333,41.968773584905655,41.968773584905655,342.20692307692303
Email Campaign,2024-11,5604.83,5002.64,-602.1899999999996,-10.744126048426082,3654820,95134,24,24,10,5,1000.528,208.44333333333336,208.44333333333336,500.264
Email Campaign,2024-12,11403.27,10778.73,-624.5400000000009,-5.476850061429755,2694856,93994,353,23,8,6,1796.455,30.534645892351275,468.6404347826087,1347.34125
Email Campaign,2025-01,7279.58,5867.23,-1412.3500000000004,-19.40153140703173,4460643,52836,346,11,13,9,651.9144444444444,16.957312138728323,533.3845454545454,451.32538461538456
Email Campaign,2025-02,4333.04,4632.64,299.60000000000036,6.914314199730452,2028998,85178,454,124,5,4,1158.16,10.204052863436123,37.36,926.528
Email Campaign,2025-03,15680.78,13003.23,-2677.550000000001,-17.075362322537533,2574328,66275,241,29,10,5,2600.6459999999997,53.9553112033195,448.38724137931035,1300.3229999999999
Email Campaign,2025-04,13009.07,10254.12,-2754.949999999999,-21.177147943703886,2953783,38036,454,82,6,3,3418.0400000000004,22.58616740088106,125.05024390243904,1709.0200000000002
Email Campaign,2025-05,3150.16,3245.56,95.40000000000009,3.0284176041851874,4292591,31805,461,69,12,11,295.0509090909091,7.040260303687636,47.03710144927536,270.4633333333333
Email Campaign,2025-06,8659.72,7748.87,-910.8499999999995,-10.518238464985005,4560520,9514,48,31,4,4,1937.2175,161.43479166666665,249.96354838709678,1937.2175
Google Ads,2024-01,36508.49,34698.36,-1810.1299999999974,-4.958107004699448,3406058,61864,427,173,8,6,5783.06,81.2607962529274,200.5685549132948,4337.295
Google Ads,2024-02,64076.47,56653.32,-7423.1500000000015,-11.584829813502525,3759321,14938,148,128,6,3,18884.44,382.7927027027027,442.6040625,9442.22
Google Ads,2024-03,50357.85,47707.37,-2650.479999999996,-5.2632906289684644,3766263,40769,134,70,6,3,15902.456666666667,356.02514925373134,681.5338571428572,7951.2283333333335
Google Ads,2024-04,65801.2,57665.82,-8135.379999999997,-12.363573916585105,2270759,90330,462,21,7,3,19221.94,124.81779220779221,2745.9914285714285,8237.974285714286
Google Ads,2024-05,92861.44,80249.9,-12611.540000000008,-13.581029973259092,4662791,68587,130,130,11,6,13374.983333333332,617.306923076923,617.306923076923,7295.445454545454
Google Ads,2024-06,82527.76,73564.14,-8963.619999999995,-10.861339263297582,2130227,69793,334,197,9,7,10509.162857142857,220.25191616766466,373.4220304568528,8173.793333333333
Google Ads,2024-07,129765.07,115762.59,-14002.48000000001,-10.790638805959114,4649812,8518,102,14,16,10,11576.259,1134.9273529411764,8268.756428571429,7235.161875
Google Ads,2024-08,85156.75,85488.46,331.7100000000064,0.38952872203319927,4866745,41900,393,107,8,5,17097.692000000003,217.5278880407125,798.957570093458,10686.0575
Google Ads,2024-09,106598.63,106650.89,52.25999999999476,0.049025020302788845,3585675,58444,27,27,10,5,21330.178,3950.0329629629628,3950.0329629629628,10665.089
Google Ads,2024-10,148543.85,119870.64,-28673.210000000006,-19.302859054750503,1076850,24120,201,186,13,8,14983.83,596.3713432835821,644.4658064516129,9220.818461538462
Google Ads,2024-11,54023.08,46947.06,-7076.020000000004,-13.09814249761399,1555460,78642,372,86,8,5,9389.412,126.20177419354837,545.8960465116279,5868.3825
Google Ads,2024-12,105721.34,91318.08,-14403.259999999995,-13.623796293160865,2948620,55304,403,86,7,5,18263.616,226.59573200992557,1061.8381395348838,13045.44
Google Ads,2025-01,64166.67,66061.88,1895.2100000000064,2.953573872541627,2511857,70790,302,167,16,13,5081.683076923077,218.74794701986755,395.5801197604791,4128.8675
Google Ads,2025-02,90280.4,82782.46,-7497.939999999988,-8.305169228315325,4204967,7100,303,72,7,6,13797.076666666668,273.2094389438944,1149.756388888889,11826.065714285714
